"","df","category","group","variable","vtype","n","nc","propna","mean","sd","min","q25","median","q75","max","pvalue"
"1","new_cohort_raw","Demographic","gender","gender","binary",2402933,2402931,8.32316173609501e-07,0.865652821491753,0.341025017459921,0,1,1,1,1,NA
"2","new_cohort_raw","Demographic","bmi_weight","bmi","continuous",2402933,1430163,0.404826102101057,29.8696003817819,5.94835882999807,10.2236842105263,25.7994445546518,29.1492766203704,33.1616331360947,85.6409298575652,NA
"3","new_cohort_raw","Demographic","bmi_weight","weight","continuous",2402933,1439002,0.40114768077179,204.672594900007,44.997801698327,80,173.8,199.96,230,500,NA
"4","new_cohort_raw","Demographic","race","asian","binary",2402933,2093429,0.128802592498418,0.0191293805521944,0.136979766078456,0,0,0,0,1,NA
"5","new_cohort_raw","Demographic","race","black","binary",2402933,2093429,0.128802592498418,0.18994912175192,0.392260788759608,0,0,0,0,1,NA
"6","new_cohort_raw","Demographic","race","hawaiianpacific","binary",2402933,2093429,0.128802592498418,0.0129285492844515,0.112966402057365,0,0,0,0,1,NA
"7","new_cohort_raw","Demographic","race","indianalaskan","binary",2402933,2093429,0.128802592498418,0.0128301461382258,0.112541279264269,0,0,0,0,1,NA
"8","new_cohort_raw","Demographic","agentorange","agentorange","binary",2402933,0,1,NA,NA,Inf,NA,NA,NA,-Inf,NA
"9","new_cohort_raw","Demographic","age","age","continuous",2402933,2315086,0.0365582394515369,57.1744008645898,17.7037238004446,-1,43,60,72,88,NA
"10","new_cohort_raw","Demographic","smoke","smoke_current","binary",2402933,629715,0.737939010367746,0.404232073239481,0.490743198266746,0,0,0,1,1,NA
"11","new_cohort_raw","Demographic","smoke","smoke_former","binary",2402933,629715,0.737939010367746,0.417176024074383,0.493092866632609,0,0,0,1,1,NA
"12","new_cohort_raw","Comorbidities","gerd","gerd","binary",2402933,1882560,0.216557432104849,0.171149392316845,0.3766395533927,0,0,0,0,1,NA
"13","new_cohort_raw","Comorbidities","chf","chf","binary",2402933,1882560,0.216557432104849,0.0451576576576576,0.207649865197879,0,0,0,0,1,NA
"14","new_cohort_raw","Comorbidities","ctd","ctd","binary",2402933,1882560,0.216557432104849,0.0116453127655958,0.107283295857491,0,0,0,0,1,NA
"15","new_cohort_raw","Comorbidities","dem","dem","binary",2402933,1882560,0.216557432104849,0.0195223525412205,0.138351871906896,0,0,0,0,1,NA
"16","new_cohort_raw","Comorbidities","diab_c","diab_c","binary",2402933,1882560,0.216557432104849,0.086888067312595,0.281671037231835,0,0,0,0,1,NA
"17","new_cohort_raw","Comorbidities","hiv","hiv","binary",2402933,1882560,0.216557432104849,0.00368062638109805,0.0605564308596833,0,0,0,0,1,NA
"18","new_cohort_raw","Comorbidities","mld","mld","binary",2402933,1882560,0.216557432104849,0.0408905957844634,0.198036804138602,0,0,0,0,1,NA
"19","new_cohort_raw","Comorbidities","msld","msld","binary",2402933,1882560,0.216557432104849,0.00294598844127145,0.0541969662771836,0,0,0,0,1,NA
"20","new_cohort_raw","Comorbidities","para","para","binary",2402933,1882560,0.216557432104849,0.00457887132415433,0.0675122780142507,0,0,0,0,1,NA
"21","new_cohort_raw","Comorbidities","rd","rd","binary",2402933,1882560,0.216557432104849,0.0679123108958016,0.251595434277255,0,0,0,0,1,NA
"22","new_cohort_raw","Comorbidities","cd","cd","binary",2402933,1882560,0.216557432104849,0.0462901580826109,0.210112833491972,0,0,0,0,1,NA
"23","new_cohort_raw","Comorbidities","copd","copd","binary",2402933,1882560,0.216557432104849,0.125293748937618,0.331051783911317,0,0,0,0,1,NA
"24","new_cohort_raw","Comorbidities","diab_nc","diab_nc","binary",2402933,1882560,0.216557432104849,0.203001763556008,0.402233928817267,0,0,0,0,1,NA
"25","new_cohort_raw","Comorbidities","mi","mi","binary",2402933,1882560,0.216557432104849,0.0163139554648988,0.126679985974322,0,0,0,0,1,NA
"26","new_cohort_raw","Comorbidities","pud","pud","binary",2402933,1882560,0.216557432104849,0.00513874723780381,0.0715006519569122,0,0,0,0,1,NA
"27","new_cohort_raw","Comorbidities","pvd","pvd","binary",2402933,1882560,0.216557432104849,0.0567312595614479,0.231328450856342,0,0,0,0,1,NA
"28","new_cohort_raw","Medication","h2r","h2r_int","continuous",2402933,111630,0.953544272769986,193176.957175952,200476.140075443,10,39199.99902,120799.99698,284799.99288,2207999.9448,NA
"29","new_cohort_raw","Medication","h2r","h2r_mean","continuous",2402933,111630,0.953544272769986,459.477592239385,217.972710601804,5,333.333333333333,399.999995,559.999986,2400,NA
"30","new_cohort_raw","Medication","h2r","h2r_max","continuous",2402933,111630,0.953544272769986,733.74394454225,291.24668283977,10,400,799.99998,799.99998,3200,NA
"31","new_cohort_raw","Medication","h2r","h2r_maxdiff","continuous",2402933,111630,0.953544272769986,90.587642491887,208.728767324678,-1599.99996,-2.66666666666667,10.1265820253165,79.999998,1600,NA
"32","new_cohort_raw","Medication","h2r","h2r_tv","continuous",2402933,111630,0.953544272769986,26.2386631149187,44.4287050528197,0,6.47173489278752,13.333333,26.6666666666667,1599.99996,NA
"33","new_cohort_raw","Medication","ppi","ppi_int","continuous",2402933,378746,0.842381789255048,9770.9150070111,9558.00103226448,1.05,2440.125,7060,13680,175675.733333333,NA
"34","new_cohort_raw","Medication","ppi","ppi_mean","continuous",2402933,378746,0.842381789255048,17.0955445934461,11.1636469159933,0.15,10,14.2857142857143,20,195.282051282051,NA
"35","new_cohort_raw","Medication","ppi","ppi_max","continuous",2402933,378746,0.842381789255048,27.007387044348,17.1091134281463,0.15,20,20,40,256,NA
"36","new_cohort_raw","Medication","ppi","ppi_maxdiff","continuous",2402933,378746,0.842381789255048,4.79567257119913,9.50460024868458,-80,0.0371057513914657,1.11111111111111,5,219.9999996,NA
"37","new_cohort_raw","Medication","ppi","ppi_tv","continuous",2402933,378746,0.842381789255048,1.00080228328935,1.68253347508031,0,0.20882422700239,0.475064118350048,1.14079942614902,80,NA
"38","new_cohort_raw","Lab","a1c","a1c_mean","continuous",2402933,1098579,0.542817465156124,6.16075464073024,1.21703126618433,3.5,5.4,5.8,6.45,18.7,NA
"39","new_cohort_raw","Lab","a1c","a1c_max","continuous",2402933,1098579,0.542817465156124,6.4061495349902,1.60118064410555,3.5,5.5,5.9,6.7,19.9,NA
"40","new_cohort_raw","Lab","a1c","a1c_min","continuous",2402933,1098579,0.542817465156124,5.94585807666085,0.989516726139918,3.5,5.4,5.7,6.2,18.7,NA
